21:54:02 p.m. Name : 0 ==> Episode : 0 ; Steps : 3 ; Reward : 5.3 ; Epsilon : 0.1
21:54:02 p.m. Name : 1 ==> Episode : 0 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:54:02 p.m. Name : 2 ==> Episode : 0 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:54:02 p.m. Name : 3 ==> Episode : 0 ; Steps : 155 ; Reward : 5.1 ; Epsilon : 0.1
21:54:02 p.m. Name : 4 ==> Episode : 0 ; Steps : 200 ; Reward : -1.490116E-08 ; Epsilon : 0.1
21:54:03 p.m. Name : 5 ==> Episode : 0 ; Steps : 200 ; Reward : -0.8 ; Epsilon : 0.1
21:54:03 p.m. Name : 6 ==> Episode : 0 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:54:03 p.m. Name : 7 ==> Episode : 0 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:54:03 p.m. Name : 8 ==> Episode : 0 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:54:03 p.m. Name : 9 ==> Episode : 0 ; Steps : 200 ; Reward : -1.6 ; Epsilon : 0.1
21:54:03 p.m. Name : 10 ==> Episode : 0 ; Steps : 8 ; Reward : 5.2 ; Epsilon : 0.1
21:54:03 p.m. Name : 11 ==> Episode : 0 ; Steps : 200 ; Reward : -1 ; Epsilon : 0.1
21:54:15 p.m. Name : 0 ==> Episode : 1 ; Steps : 134 ; Reward : 5.4 ; Epsilon : 0.1
21:54:15 p.m. Name : 1 ==> Episode : 1 ; Steps : 200 ; Reward : -3.399999 ; Epsilon : 0.1
21:54:15 p.m. Name : 2 ==> Episode : 1 ; Steps : 66 ; Reward : 5.6 ; Epsilon : 0.1
21:54:16 p.m. Name : 3 ==> Episode : 1 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:54:16 p.m. Name : 4 ==> Episode : 1 ; Steps : 200 ; Reward : -0.5999999 ; Epsilon : 0.1
